            0.000000 -4.678248  1.876733 -0.085141
            0.099411 -4.653183  1.930920 -0.091256
            0.199222 -4.657612  1.960692 -0.076495
            0.299197 -4.633232  2.014952 -0.061020
            0.399213 -4.628932  2.054414 -0.100626
            0.499145 -4.628705  2.085036 -0.082293
            0.599230 -4.624673  2.109567 -0.093270
            0.699202 -4.609250  2.179915 -0.092992
            0.799206 -4.585004  2.238160 -0.101402
            0.899313 -4.566864  2.283424 -0.076887
            0.999128 -4.561707  2.333743 -0.077427
            1.099339 -4.542048  2.385395 -0.120417
            1.199533 -4.535827  2.417628 -0.114589
            1.299406 -4.531146  2.471040 -0.120049
            1.399376 -4.517623  2.499398 -0.088905
            1.499493 -4.507394  2.524401 -0.089285
            1.599273 -4.482669  2.571418 -0.083214
            1.699579 -4.473587  2.623845 -0.088648
            1.799196 -4.472848  2.670900 -0.077219
            1.899368 -4.466028  2.705036 -0.099295
            1.999264 -4.442127  2.771651 -0.103710
            2.099306 -4.428481  2.828663 -0.112766
            2.199183 -4.413473  2.883692 -0.106913
            2.299227 -4.386222  2.917286 -0.113379
            2.399234 -4.375233  2.941419 -0.102468
            2.499280 -4.358793  2.991125 -0.118861
            2.599352 -4.364464  2.999074 -0.098263
            2.699347 -4.356358  3.046865 -0.097373
            2.799408 -4.336619  3.094613 -0.097866
            2.899364 -4.312903  3.138667 -0.120520
            2.999360 -4.289856  3.188812 -0.104321
            3.099419 -4.267205  3.248341 -0.097376
            3.204201 -4.253515  3.300246 -0.087940
            3.299120 -4.224528  3.340450 -0.080770
            3.399373 -4.197056  3.387021 -0.111275
            3.499412 -4.180149  3.413261 -0.099100
            3.599668 -4.188226  3.450919 -0.090576
            3.699505 -4.168629  3.504414 -0.106700
            3.799320 -4.141148  3.535895 -0.097830
            3.899366 -4.142249  3.574735 -0.100191
            3.999356 -4.108982  3.613369 -0.090713
            4.104364 -4.092750  3.629468 -0.085678
            4.204563 -4.055043  3.676640 -0.081229
            4.299412 -4.028108  3.745833 -0.082238
            4.404085 -4.004826  3.800462 -0.119311
            4.499124 -3.987211  3.835581 -0.103058
            4.604091 -3.966129  3.880411 -0.099664
            4.699636 -3.957894  3.915217 -0.139086
            4.804140 -3.945793  3.945271 -0.121258
            4.904230 -3.927406  3.996188 -0.110529
            5.004192 -3.906946  4.032860 -0.084691
            5.104303 -3.890763  4.093903 -0.087784
            5.204198 -3.861587  4.121118 -0.081352
            5.304206 -3.834927  4.166637 -0.095110
            5.404202 -3.811862  4.194416 -0.117014
            5.504870 -3.796034  4.219023 -0.108573
            5.604428 -3.758303  4.263258 -0.113837
            5.704608 -3.740318  4.299829 -0.105204
            5.804492 -3.709383  4.339416 -0.087334
            5.904352 -3.681532  4.401927 -0.088929
            6.004457 -3.665960  4.439197 -0.093242
            6.104568 -3.654888  4.470808 -0.098968
            6.204451 -3.642714  4.522848 -0.117910
            6.304219 -3.617252  4.581665 -0.128690
            6.404183 -3.598851  4.611749 -0.112859
            6.504405 -3.572512  4.651769 -0.106790
            6.604236 -3.548812  4.685947 -0.118488
            6.704188 -3.527420  4.726437 -0.096856
            6.804440 -3.500903  4.759492 -0.090244
            6.904211 -3.499436  4.774824 -0.103275
            7.004482 -3.498371  4.786167 -0.127652
            7.104181 -3.456527  4.867713 -0.118146
            7.209256 -3.438597  4.923345 -0.124709
            7.304356 -3.407950  4.979812 -0.118813
            7.404530 -3.386726  5.028179 -0.101067
            7.504196 -3.361138  5.050401 -0.083274
            7.604181 -3.350743  5.048615 -0.071518
            7.704325 -3.319161  5.079986 -0.066663
            7.804320 -3.304694  5.157811 -0.068144
            7.904142 -3.282887  5.200478 -0.080420
            8.004348 -3.252809  5.251473 -0.102482
            8.104410 -3.229919  5.293730 -0.095029
            8.209346 -3.201031  5.337058 -0.118767
            8.304267 -3.170434  5.355996 -0.126775
            8.404064 -3.151050  5.389960 -0.103940
            8.504108 -3.126249  5.423725 -0.122096
            8.604364 -3.085841  5.475166 -0.093569
            8.704160 -3.080492  5.532470 -0.088914
            8.804053 -3.051177  5.562559 -0.076170
            8.904363 -3.033924  5.601928 -0.075107
            9.004364 -3.009245  5.623133 -0.101458
            9.104567 -2.991560  5.647282 -0.104528
            9.209093 -2.973906  5.702567 -0.106584
            9.304037 -2.947509  5.735828 -0.079890
            9.404410 -2.915422  5.794256 -0.087064
            9.504384 -2.892012  5.838757 -0.090828
            9.604486 -2.862370  5.876067 -0.080765
            9.704359 -2.841219  5.901986 -0.074215
            9.804150 -2.816474  5.926114 -0.092757
            9.904180 -2.790250  5.973584 -0.121588
           10.004073 -2.775010  6.016092 -0.110574
           10.104479 -2.761868  6.062066 -0.118574
           10.209231 -2.737388  6.107192 -0.138895
           10.304157 -2.700286  6.139334 -0.117993
           10.404428 -2.663136  6.175037 -0.099419
           10.504313 -2.642204  6.223220 -0.087186
           10.604126 -2.614968  6.264382 -0.098483
           10.704287 -2.606099  6.297825 -0.083556
           10.804348 -2.591911  6.325401 -0.086160
           10.904345 -2.584234  6.329275 -0.089043
           11.009377 -2.545068  6.387341 -0.099929
           11.104537 -2.498824  6.433116 -0.112208
           11.209353 -2.490162  6.470967 -0.108182
           11.309510 -2.472957  6.518606 -0.100627
           11.409350 -2.440992  6.570770 -0.089859
           11.504580 -2.410159  6.621209 -0.095504
           11.609326 -2.383444  6.672090 -0.099840
           11.704398 -2.349640  6.701078 -0.085929
           11.809351 -2.329451  6.721909 -0.080434
           11.909396 -2.298971  6.768340 -0.083025
           12.009339 -2.276534  6.795390 -0.117647
           12.109314 -2.249999  6.830777 -0.152042
           12.209394 -2.232599  6.842432 -0.186831
           12.309482 -2.211087  6.891457 -0.159247
           12.409353 -2.191962  6.936621 -0.172111
           12.509371 -2.173020  6.994126 -0.164180
           12.609381 -2.151792  7.041870 -0.133452
           12.709497 -2.114451  7.065574 -0.130810
           12.809282 -2.085274  7.128535 -0.130004
           12.909323 -2.070810  7.162253 -0.084554
           13.009674 -2.051979  7.187858 -0.096542
           13.109093 -2.033611  7.224106 -0.099407
           13.209097 -2.003573  7.270941 -0.105423
           13.309370 -1.986239  7.307234 -0.102444
           13.409147 -1.962740  7.346623 -0.121438
           13.509272 -1.941782  7.381122 -0.117355
           13.609298 -1.915773  7.420805 -0.114350
           13.709237 -1.884456  7.469027 -0.140998
           13.809286 -1.851658  7.492255 -0.153979
           13.909244 -1.823796  7.511925 -0.162188
           14.009389 -1.808622  7.536418 -0.133645
           14.109274 -1.786672  7.557811 -0.139998
